Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location
Residensi Hijauan Condo (The Greens) - 7 min to the upcoming LRT3,RM 429 300,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 9, 19:22",Shah Alam
Shah Alam Seksyen 22 Alam Sanjung Apartment [RizalProperties],RM 259 200,Apartment / Condominium,861 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 8, 16:30",Shah Alam
3 Bedroom D'Sara Sentral Service Apartment in Shah Alam,RM 720 000,Apartment / Condominium,1244 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 8, 11:50",Sungai Buloh
"BANK LELONG No.E-23A-5, Koi Suites @ Taman Mas Langat, Puchong",RM 207 000,Apartment / Condominium,742 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 8, 08:26",Puchong
Andari Town Villa Selayang Height 1101sf 3R2B,RM 255 200,Apartment / Condominium,1101 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 22:49",369
3 Bedroom Sfera Residensi Service Apartment,RM 480 000,Apartment / Condominium,996 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 17:26",Seri Kembangan
"BANK LELONG No.D1-05-10, Savanna @ Southville City, BANGI (by Mahsing)",RM 279 000,Apartment / Condominium,956 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 16:22",Bangi
"Condominium Kristal Heights, Taman Sri Gombak, Batu Caves",RM 315 000,Apartment / Condominium,1001 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 7, 15:49",Ampang
Skylake Residence Serviced Apartment,RM 380 000,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 6, 12:45",Puchong
Amerin Residence Service Apartment (One Amerin Residence),RM 275 000,Apartment / Condominium,857 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 6, 11:47",Kajang
Fully Furnished Simfoni Heights Condominium (Symphony Heights),RM 285 000,Apartment / Condominium,861 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 6, 11:45",Batu Caves
Tropicana Grande Condo - Stunning Penthouse - Private lift,RM 2 250 000,Apartment / Condominium,3670 sq.ft.,4 Bedrooms,5 Bathrooms,"Jun 6, 11:24",Petaling Jaya
Puncak Alam Kondo Danau Perintis berhampiran UITM [RizalProperties],RM 272 000,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 5, 15:05",Puncak Alam
"BANK LELONG No.3-4-7, Level 4, Blok 3, Gugusan Semarak, Kota Damansara",RM 116 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 4, 15:45",Kota Damansara
Azure Residensi - Connected to Paradigm Mall by a pedestrian bridge,RM 612 000,Apartment / Condominium,1004 sq.ft.,1 Bedroom,2 Bathrooms,"Jun 2, 18:48",Petaling Jaya
Danau Perintis Apartment - 5 min to Lotus's Puncak Alam,RM 272 000,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 2, 18:41",Puncak Alam
"Condominium Ampang Damai,Bandar Baru Ampang",RM 288 000,Apartment / Condominium,1023 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 2, 12:15",Ampang
Near Ampang LRT apartment for auction! 3bedroom,RM 129 600,Apartment / Condominium,657 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 19:41",Ampang
Completed in 2021 Skylake Residence 2 parking - 3rd auction!,RM 299 700,Apartment / Condominium,883 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:47",Puchong
"[ROI up to 9%] 3Bedroom Teratai Apartment, Rawang",RM 50 000,Apartment / Condominium,650 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:45",Rawang
PJ apartment for 3rd auction!,RM 154 000,Apartment / Condominium,678 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:25",Damansara Damai
Freehold 3 Bedroom Flat [5min to Econsave Kg Jawa],RM 80 000,Apartment / Condominium,657 sq.ft.,1 Bedroom,1 Bathroom,"Jun 1, 18:21",Klang
"3 Bedroom Apartment in Desa Lembah Permai, Ampang",RM 129 600,Apartment / Condominium,657 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 1, 16:15",Ampang
"3 Bedroom Apartment in Taman Desa Serdang, Seri Kembangan",RM 120 000,Apartment / Condominium,826 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 16:10",Seri Kembangan
Freehold 3 Bedroom Oasis 1 Condominium,RM 360 000,Apartment / Condominium,1250 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 15:51",Kajang
Residensi 280 Service Apartment (Res 280),RM 420 000,Apartment / Condominium,890 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 1, 15:48",Batu Caves
"BANK LELONG No.09-02, Block 19, Elaeis 2, Bukit Jelutong, Shah Alam",RM 333 000,Apartment / Condominium,1055 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 1, 11:08",Shah Alam
