,Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location,States
171,Service Apartment in Parisien - Link bridge to Central i-City,RM 352 000,Apartment / Condominium,769 sq.ft.,2 Bedrooms,2 Bathrooms,"May 17, 16:47",Shah Alam,Selangor
172,3 Bedroom Service Apartment in Pusat Perdagangan Icon City,RM 710 000,Apartment / Condominium,1405 sq.ft.,3 Bedrooms,2 Bathrooms,"May 17, 16:45",Petaling Jaya,Selangor
173,Freehold 3 Bedroom Harmoni Apartment,RM 140 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"May 17, 16:28",Damansara Damai,Selangor
174,"BANK LELONG : No.M8-4-12, Apartment Gagah, Taman Tun Perak, CHERAS",RM 162 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"May 16, 21:08",Cheras,Selangor
175,"BANK LELONG No.D-20-2, Parisien Tower, i-SOHO @ i-City, Shah Alam",RM 352 000,Apartment / Condominium,769 sq.ft.,1 Bedroom,2 Bathrooms,"May 16, 20:06",Shah Alam,Selangor
176,"3 Bedroom Flat - Gugusan Siantan, Kota Damansara",RM 139 500,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"May 16, 17:24",Kota Damansara,Selangor
177,"Freehold 3 Bedroom Shop Apartment in Desa Idaman II, Klang",RM 56 700,Apartment / Condominium,879 sq.ft.,3 Bedrooms,1 Bathroom,"May 15, 16:55",Klang,Selangor
178,"Apartment in Jalan SP 3/1, Saujana Puchong",RM 80 190,Apartment / Condominium,714 sq.ft.,3 Bedrooms,1 Bathroom,"May 15, 16:45",Puchong,Selangor
179,oasis 2 mutiara heights kajang 1250sqft,RM 316 000,Apartment / Condominium,1250 sq.ft.,3 Bedrooms,2 Bathrooms,"May 15, 13:27",Kajang,Selangor
180,"BANK LELONG No.B2-2-6, O2 Residence, Bandar Puchong South, Puchong",RM 291 000,Apartment / Condominium,1259 sq.ft.,1 Bedroom,1 Bathroom,"May 14, 16:13",Seri Kembangan,Selangor
181,"BANK LELONG No.G-3-07, Level 3, Block G, Apartment Puchong Permata",RM 171 000,Apartment / Condominium,710 sq.ft.,3 Bedrooms,2 Bathrooms,"May 14, 13:03",Puchong,Selangor
182,"BANK LELONG No.60-08-11, Tingkat 8, Block 60, Tmn Sri Murni, SELAYANG",RM 88 000,Apartment / Condominium,527 sq.ft.,2 Bedrooms,1 Bathroom,"May 13, 16:26",Selayang,Selangor
183,"BANK LELONG No.9-16, Apartment Cempaka, Tmn Gombak Permai, Batu Caves",RM 108 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,2 Bathrooms,"May 13, 16:24",Ampang,Selangor
184,"BANK LELONG No.F-9-7, Apatrtment Enggang, Bandar Kinrara, PUCHONG",RM 128 000,Apartment / Condominium,678 sq.ft.,3 Bedrooms,2 Bathrooms,"May 13, 16:23",Puchong,Selangor
185,"BANK LELONG : No.F-7-11, Emporis @ Kota Damansara (Duplex unit)",RM 296 000,Apartment / Condominium,602 sq.ft.,2 Bedrooms,2 Bathrooms,"May 13, 13:26",Kota Damansara,Selangor
186,"Bank Lelong BUMI LOT : No.T3-22-20, Lakefront Homes, CYBERJAYA",RM 322 000,Apartment / Condominium,1010 sq.ft.,3 Bedrooms,2 Bathrooms,"May 12, 16:43",Cyberjaya,Selangor
187,Skylake Residence Service Apartment - Completed in 2021,RM 370 000,Apartment / Condominium,883 sq.ft.,2 Bedrooms,2 Bathrooms,"May 12, 15:13",Puchong,Selangor
188,"BANK LELONG Bumi Lot : No.A-7-11, Cerrado @ SouthVille City, BANGI",RM 216 000,Apartment / Condominium,667 sq.ft.,2 Bedrooms,1 Bathroom,"May 12, 15:08",Bangi,Selangor
189,Dataran Prestij Service Apartment (Sq Where) - Link bridge to MRT,RM 720 000,Apartment / Condominium,1765 sq.ft.,3 Bedrooms,1 Bathroom,"May 12, 15:07",Sungai Buloh,Selangor
190,Puncak Alam Sentrovue Service Apartment Alam Jaya [RizalProperties],RM 219 000,Apartment / Condominium,842 sq.ft.,3 Bedrooms,2 Bathrooms,"May 11, 11:10",Puncak Alam,Selangor
191,Petaling Jaya Emporis Duplex Service Apartment [RizalProperties],RM 354 294,Apartment / Condominium,893 sq.ft.,3 Bedrooms,2 Bathrooms,"May 11, 11:08",Kota Damansara,Selangor
192,a condominium unit,RM 432 000,Apartment / Condominium,1334 sq.ft.,4 Bedrooms,3 Bathrooms,"May 10, 13:03",Sungai Buloh,Selangor
193,"(MURAH) Astana Putra Condominium, Seksyen U20, Shah Alam",RM 432 000,Apartment / Condominium,1335 sq.ft.,3 Bedrooms,2 Bathrooms,"May 9, 18:08",Shah Alam,Selangor
194,Condominium Sepang The Olive Sunsuria City Xiamen University,RM 530 000,Apartment / Condominium,818 sq.ft.,3 Bedrooms,2 Bathrooms,"May 9, 11:30",Sepang,Selangor
195,"BANK LELONG No.A-3-17, Seri Ros Flat, Jln Ros 1, Bukit Sentosa, RAWANG",RM 50 000,Apartment / Condominium,581 sq.ft.,3 Bedrooms,2 Bathrooms,"May 6, 16:04",Rawang,Selangor
196,Puchong KOI TROPIKA CONDOMINIUM below market value (MV: RM 430K),RM 348 300,Apartment / Condominium,1184 sq.ft.,3 Bedrooms,2 Bathrooms,"May 5, 14:28",Puchong,Selangor
197,"BANK LELONG Rajawali Apartment, Bandar Country Homes, RAWANG",RM 54 000,Apartment / Condominium,603 sq.ft.,2 Bedrooms,2 Bathrooms,"May 4, 21:29",Rawang,Selangor
198,"BANK LELONG : No.B-23-02, Sunway GEO Residences @ Sunway South Quay.",RM 1 170 000,Apartment / Condominium,1496 sq.ft.,4 Bedrooms,3 Bathrooms,"May 3, 22:22",Bandar Sunway,Selangor
199,"(MURAH) Apartment Taman Langat Murni, Bukit Changgang, Banting",RM 108 000,Apartment / Condominium,755 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 16:49",Banting,Selangor
200,"(MURAH NI) Pangsapuri Baiduri Bandar Tasik Kesuma, Beranang",RM 76 500,Apartment / Condominium,760 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 16:44",Beranang,Selangor
201,"(KLIA AREA) Apartment Taman Langat Murni, Banting, Bukit Changgang",RM 117 450,Apartment / Condominium,900 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 16:29",Banting,Selangor
202,"Pangsapuri Baiduri Bandar Tasik Kesuma, Beranang",RM 81 000,Apartment / Condominium,760 sq.ft.,3 Bedrooms,2 Bathrooms,"May 2, 14:41",Beranang,Selangor
203,"BANK LELONG : No.SW-02-15, Cova Square @ Kota Damansara",RM 284 000,Apartment / Condominium,818 sq.ft.,2 Bedrooms,2 Bathrooms,"May 1, 12:30",Petaling Jaya,Selangor
204,"BANK LELONG : D-10-8,East Lake Residence, Seri Kembangan, Sungai Besi",RM 357 000,Apartment / Condominium,1314 sq.ft.,3 Bedrooms,2 Bathrooms,"May 1, 11:42",Seri Kembangan,Selangor
